pathway_id,pathway,system_domain,adaptive_support,transformability,governance_readiness,justice_contribution,ecological_viability,legitimacy,resource_feasibility,structural_risk,critical_function,transformation_value,scenario,rank
TP002,Climate-Resilient Urban Redesign,urban systems and infrastructure,8.3,8.5,7.8,8.4,8.1,7.8,7,4,heat flood housing mobility and public-health resilience,7.5440000000000005,Adaptation-first,1
TP006,Public Health Prevention Transformation,public health and community resilience,8.4,8.1,7.6,8.6,7.4,8,7.3,3.8,prevention workforce trust care access surveillance and community health,7.479,Adaptation-first,2
TP005,Watershed Restoration and Land-Use Transition,watersheds and social-ecological systems,8.1,8.4,7.5,7.9,8.9,7.6,6.9,4.3,flood buffering water quality biodiversity and land-use resilience,7.4110000000000005,Adaptation-first,3
TP001,Energy System Transition,energy and infrastructure,8,8.8,7.4,7.1,8.7,7.5,7.2,4.2,low-carbon reliable affordable and resilient energy service,7.327000000000001,Adaptation-first,4
TP004,Institutional Governance Reform,governance and public institutions,7.6,8.7,8.4,8.2,7.2,8.1,6.8,4.1,legitimacy accountability coordination and adaptive public capacity,7.322,Adaptation-first,5
TP003,Regional Food System Reconfiguration,food systems and agriculture,7.9,8.2,7.2,7.8,8.3,7.4,7.1,4.4,food security soil health local capacity and supply resilience,7.194999999999999,Adaptation-first,6
TP002,Climate-Resilient Urban Redesign,urban systems and infrastructure,8.3,8.5,7.8,8.4,8.1,7.8,7,4,heat flood housing mobility and public-health resilience,7.5329999999999995,Balanced,1
TP005,Watershed Restoration and Land-Use Transition,watersheds and social-ecological systems,8.1,8.4,7.5,7.9,8.9,7.6,6.9,4.3,flood buffering water quality biodiversity and land-use resilience,7.4239999999999995,Balanced,2
TP004,Institutional Governance Reform,governance and public institutions,7.6,8.7,8.4,8.2,7.2,8.1,6.8,4.1,legitimacy accountability coordination and adaptive public capacity,7.422999999999999,Balanced,3
TP006,Public Health Prevention Transformation,public health and community resilience,8.4,8.1,7.6,8.6,7.4,8,7.3,3.8,prevention workforce trust care access surveillance and community health,7.409,Balanced,4
TP001,Energy System Transition,energy and infrastructure,8,8.8,7.4,7.1,8.7,7.5,7.2,4.2,low-carbon reliable affordable and resilient energy service,7.346,Balanced,5
TP003,Regional Food System Reconfiguration,food systems and agriculture,7.9,8.2,7.2,7.8,8.3,7.4,7.1,4.4,food security soil health local capacity and supply resilience,7.196000000000001,Balanced,6
TP005,Watershed Restoration and Land-Use Transition,watersheds and social-ecological systems,8.1,8.4,7.5,7.9,8.9,7.6,6.9,4.3,flood buffering water quality biodiversity and land-use resilience,7.621,Ecological-viability-first,1
TP002,Climate-Resilient Urban Redesign,urban systems and infrastructure,8.3,8.5,7.8,8.4,8.1,7.8,7,4,heat flood housing mobility and public-health resilience,7.514,Ecological-viability-first,2
TP001,Energy System Transition,energy and infrastructure,8,8.8,7.4,7.1,8.7,7.5,7.2,4.2,low-carbon reliable affordable and resilient energy service,7.509000000000001,Ecological-viability-first,3
