strategy_id,strategy,system_domain,exposure_reduction,vulnerability_reduction,service_continuity,adaptive_capacity,ecological_buffering,equity_protection,maladaptation_risk,critical_function,resilience_value,scenario,rank
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,7.8500000000000005,Adaptation-first,1
URB005,Community Resilience Hub Network,social infrastructure,7.2,8.5,8,8.6,7.6,8.9,2.6,provides trusted local coordination cooling shelter supplies communication and mutual aid capacity,7.81,Adaptation-first,2
URB006,Anti-Displacement Climate Adaptation Framework,housing justice and governance,7.5,8.9,7.7,8.4,7.5,9.1,2.5,prevents green displacement supports participation preserves community continuity and aligns adaptation with housing justice,7.7940000000000005,Adaptation-first,3
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,7.6419999999999995,Adaptation-first,4
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,7.636,Adaptation-first,5
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,7.510000000000001,Adaptation-first,6
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,7.561,Balanced,1
URB006,Anti-Displacement Climate Adaptation Framework,housing justice and governance,7.5,8.9,7.7,8.4,7.5,9.1,2.5,prevents green displacement supports participation preserves community continuity and aligns adaptation with housing justice,7.547,Balanced,2
URB005,Community Resilience Hub Network,social infrastructure,7.2,8.5,8,8.6,7.6,8.9,2.6,provides trusted local coordination cooling shelter supplies communication and mutual aid capacity,7.490000000000001,Balanced,3
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,7.473000000000001,Balanced,4
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,7.4159999999999995,Balanced,5
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,7.2540000000000004,Balanced,6
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,7.970000000000001,Ecology-first,1
URB006,Anti-Displacement Climate Adaptation Framework,housing justice and governance,7.5,8.9,7.7,8.4,7.5,9.1,2.5,prevents green displacement supports participation preserves community continuity and aligns adaptation with housing justice,7.574000000000001,Ecology-first,2
URB005,Community Resilience Hub Network,social infrastructure,7.2,8.5,8,8.6,7.6,8.9,2.6,provides trusted local coordination cooling shelter supplies communication and mutual aid capacity,7.556,Ecology-first,3
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,7.492000000000001,Ecology-first,4
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,7.339999999999999,Ecology-first,5
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,7.2700000000000005,Ecology-first,6
URB006,Anti-Displacement Climate Adaptation Framework,housing justice and governance,7.5,8.9,7.7,8.4,7.5,9.1,2.5,prevents green displacement supports participation preserves community continuity and aligns adaptation with housing justice,8.018,Equity-first,1
URB005,Community Resilience Hub Network,social infrastructure,7.2,8.5,8,8.6,7.6,8.9,2.6,provides trusted local coordination cooling shelter supplies communication and mutual aid capacity,7.919999999999999,Equity-first,2
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,7.824000000000001,Equity-first,3
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,7.788,Equity-first,4
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,7.698,Equity-first,5
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,7.430000000000001,Equity-first,6
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,7.905999999999999,Exposure-first,1
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,7.58,Exposure-first,2
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,7.558000000000001,Exposure-first,3
URB006,Anti-Displacement Climate Adaptation Framework,housing justice and governance,7.5,8.9,7.7,8.4,7.5,9.1,2.5,prevents green displacement supports participation preserves community continuity and aligns adaptation with housing justice,7.542,Exposure-first,4
URB005,Community Resilience Hub Network,social infrastructure,7.2,8.5,8,8.6,7.6,8.9,2.6,provides trusted local coordination cooling shelter supplies communication and mutual aid capacity,7.418,Exposure-first,5
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,7.398000000000001,Exposure-first,6
URB006,Anti-Displacement Climate Adaptation Framework,housing justice and governance,7.5,8.9,7.7,8.4,7.5,9.1,2.5,prevents green displacement supports participation preserves community continuity and aligns adaptation with housing justice,5.3919999999999995,Maladaptation-sensitive,1
URB005,Community Resilience Hub Network,social infrastructure,7.2,8.5,8,8.6,7.6,8.9,2.6,provides trusted local coordination cooling shelter supplies communication and mutual aid capacity,5.327999999999999,Maladaptation-sensitive,2
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,5.284999999999999,Maladaptation-sensitive,3
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,5.2509999999999994,Maladaptation-sensitive,4
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,5.225,Maladaptation-sensitive,5
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,4.9559999999999995,Maladaptation-sensitive,6
URB003,Critical Service Microgrid and Water Backup Program,infrastructure service continuity,7.7,7.9,8.8,8.1,7.2,7.8,3.5,maintains power water cooling communications and critical facilities during disruption,7.706,Service-continuity-first,1
URB002,Green-Blue Stormwater and Floodplain Network,green-blue infrastructure,8.6,8,7.8,8.4,8.9,7.9,3.2,reduces flood heat runoff water-quality and ecological stress through hybrid urban landscapes,7.6819999999999995,Service-continuity-first,2
URB004,Transit Access and Evacuation Equity Plan,mobility and evacuation,7.9,8.2,8.3,8.2,7,8.7,2.8,protects mobility emergency access evacuation commuting care access and freight alternatives,7.670000000000001,Service-continuity-first,3
URB001,Heat-Resilient Housing Retrofit Program,housing and heat adaptation,7.8,8.8,8.1,8,7.4,8.6,2.9,improves thermal safety housing quality utility affordability and tenant protection,7.664000000000001,Service-continuity-first,4
