strategy_id,strategy,system_domain,legitimacy,capacity,flexibility,coordination,learning,accountability,equity_protection,implementation_burden,critical_function,resilience_value,threshold_risk,scenario,rank
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.039,0.20000000000000018,Balanced,1
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,7.947,0.5,Balanced,2
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,7.791,0.5999999999999996,Balanced,3
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,7.734,0.40000000000000036,Balanced,4
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.558000000000001,0.9000000000000004,Balanced,5
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.442,0.7999999999999998,Balanced,6
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.08,0.20000000000000018,Capacity-first,1
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,7.939,0.40000000000000036,Capacity-first,2
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,7.881999999999999,0.5,Capacity-first,3
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.867000000000001,0.7999999999999998,Capacity-first,4
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,7.725000000000001,0.5999999999999996,Capacity-first,5
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.487,0.9000000000000004,Capacity-first,6
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.192000000000002,0.20000000000000018,Coordination-first,1
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,8.079,0.40000000000000036,Coordination-first,2
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,7.909999999999999,0.5,Coordination-first,3
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,7.837000000000001,0.5999999999999996,Coordination-first,4
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.515000000000001,0.9000000000000004,Coordination-first,5
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.503,0.7999999999999998,Coordination-first,6
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,8.33,0.5,Equity-first,1
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.108000000000002,0.20000000000000018,Equity-first,2
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,7.893000000000001,0.5999999999999996,Equity-first,3
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.795000000000001,0.9000000000000004,Equity-first,4
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,7.743,0.40000000000000036,Equity-first,5
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.447,0.7999999999999998,Equity-first,6
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,8.154000000000002,0.5999999999999996,Flexibility-first,1
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.137,0.20000000000000018,Flexibility-first,2
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,7.953,0.5,Flexibility-first,3
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,7.743,0.40000000000000036,Flexibility-first,4
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,7.447000000000002,0.7999999999999998,Flexibility-first,5
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,7.447,0.9000000000000004,Flexibility-first,6
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,7.115000000000001,0.20000000000000018,Implementation-aware,1
IR005,Equity and Access Accountability Review,equity accountability and administrative justice,8.3,7.5,7.8,7.6,7.9,8.9,9.1,3,reduces administrative burden audits access and enforcement equity strengthens rights protection and participation,7.045000000000001,0.5,Implementation-aware,2
IR003,Decentralized Adaptive Governance Model,adaptive governance and local discretion,7.9,7.4,8.9,7.8,8.6,7.6,8,3.4,allows local adaptation experimentation scenario learning and frontline discretion with oversight,6.877,0.5999999999999996,Implementation-aware,3
IR001,Crisis Coordination Reform,coordination and emergency governance,7.8,8.3,7.6,8.8,7.9,7.7,7.6,3.2,clarifies authority improves interagency coordination reduces duplication and strengthens crisis decision pathways,6.845000000000001,0.40000000000000036,Implementation-aware,4
IR002,Public Trust and Transparency Initiative,legitimacy and public communication,8.9,7.1,7,7.2,7.4,8.5,8.2,2.8,improves transparency public communication uncertainty explanation complaint response and institutional trust,6.709,0.9000000000000004,Implementation-aware,5
IR004,Administrative Capacity and Training Program,administrative capacity and implementation,7.2,8.8,7.3,7.5,8.1,7.4,7.3,3.1,builds staffing expertise procurement data systems field operations and implementation competence,6.584999999999999,0.7999999999999998,Implementation-aware,6
IR006,Institutional Learning and After-Action Implementation System,learning memory and institutional reform,7.8,8,8.2,8.4,9,8.4,8.1,3.3,converts crisis lessons audits near misses and public feedback into funded rule and practice changes,8.360000000000001,0.20000000000000018,Learning-first,1
