scenario,strategy_id,strategy,system_domain,rank,economic_resilience_value,implementation_burden,critical_function
Balanced,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,1,8.407,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Balanced,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,2,8.327,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Balanced,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,3,8.191,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Balanced,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,4,8.134,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Balanced,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,5,8.117,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Balanced,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.86,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Resistance-first,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,1,8.316,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Resistance-first,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,2,8.103,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Resistance-first,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,3,8.096,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Resistance-first,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,4,8.023,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Resistance-first,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,5,8.022,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Resistance-first,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,6,7.829,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Recovery-first,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,1,8.391,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Recovery-first,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,2,8.196,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Recovery-first,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,3,8.128,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Recovery-first,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,4,8.023,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Recovery-first,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,5,7.954,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Recovery-first,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.922,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Adaptation-first,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,1,8.453,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Adaptation-first,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,2,8.261,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Adaptation-first,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,3,8.175,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Adaptation-first,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,4,8.152,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Adaptation-first,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,5,8.078,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Adaptation-first,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.774,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Transformation-first,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,1,8.553,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Transformation-first,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,2,8.152,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Transformation-first,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,3,8.15,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Transformation-first,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,4,8.111,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Transformation-first,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,5,8.028,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Transformation-first,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.674,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Equity-first,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,1,8.537,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Equity-first,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,2,8.329,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Equity-first,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,3,8.316,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Equity-first,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,4,8.216,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Equity-first,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,5,8.149,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Equity-first,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.8,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Institution-first,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,1,8.456,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Institution-first,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,2,8.453,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Institution-first,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,3,8.189,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Institution-first,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,4,8.177,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Institution-first,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,5,8.132,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Institution-first,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.912,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
Implementation-aware,ER005,Climate Transition and Just Regional Development Plan,climate transition and regional transformation,1,7.603,3.7,aligns climate transition just transition regional development energy transformation worker support and long-term viability
Implementation-aware,ER004,Countercyclical Stabilization and Public Investment Framework,public finance stabilization and investment,2,7.551,3.4,stabilizes demand preserves public services supports infrastructure recovery and invests through downturns
Implementation-aware,ER006,Community Finance and Small Business Continuity Fund,local enterprise and community finance,3,7.464,2.9,provides low-burden grants loans technical assistance community finance and continuity support for small firms and local enterprise
Implementation-aware,ER003,Workforce Retraining and Mobility Initiative,labor markets skills and adaptive capacity,4,7.387,3.0,supports worker transition skills mobility income protection and adaptive capacity under technological sectoral and climate change
Implementation-aware,ER001,Industrial Diversification and Local Production Program,industrial diversification and regional production,5,7.362,3.5,reduces concentrated sector dependence strengthens local production and creates alternative pathways for jobs investment and supply
Implementation-aware,ER002,Supply Chain Buffer and Redundancy Strategy,supply chain and network resilience,6,7.128,3.2,builds supplier diversification strategic inventory logistics flexibility network visibility and critical-goods continuity
