scenario,strategy_id,strategy,system_domain,rank,local_resilience_value,inequality_risk,implementation_burden,critical_function
Balanced,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,1,7.594,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Balanced,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,2,7.586,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Balanced,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,3,7.468,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
Balanced,LE006,Workforce Childcare and Local Skills Resilience,workforce capacity care infrastructure and local skills,4,7.454,2.8,3.6,protects local labor capacity through childcare transit training job quality scheduling stability and worker-centered resilience
Balanced,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,5,7.375,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Balanced,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,6,7.363,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Liquidity-first,LE002,Community Development Finance and Patient Capital,CDFI community banking credit unions and patient capital,1,8.04,2.7,3.5,expands fair relationship-based capital for firms excluded by conventional lending and weak collateral systems
Liquidity-first,LE001,Emergency Microgrant and Liquidity Fund,rapid liquidity emergency grants and cash runway protection,2,8.001,2.8,3.0,provides fast low-burden support before temporary disruption becomes permanent closure or predatory borrowing
Liquidity-first,LE003,Local Procurement and Anchor Institution Access,anchor procurement local purchasing and contract access,3,7.78,3.0,3.6,connects small firms to stable demand from public agencies hospitals universities schools utilities and large employers
Liquidity-first,LE004,Small Business Continuity and Digital Resilience Support,business continuity cyber readiness and digital operations,4,7.656,3.1,3.2,helps firms maintain records payments communications online visibility cybersecurity and alternate operating modes during disruption
Liquidity-first,LE005,Commercial Anti-Displacement and Ownership Strategy,local ownership commercial stabilization and anti-displacement,5,7.621,2.9,3.7,protects long-standing firms from rent shocks speculative redevelopment property loss and displacement after recovery investment
